                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.49565,                 2.9259,                 1.1909,                0.62115,                0.60304,                0.61687,                0.56613,                0.38406,                 1.1336,                 1.0111,             7.9263e-05,             7.9263e-05,             7.9263e-05
                      2,                0.39275,                 1.3676,                 1.0926,                0.82295,                0.81634,                0.88269,                0.82273,                0.33724,                0.73912,                0.96368,             0.00015075,             0.00015075,             0.00015075
                      3,                0.37087,                0.99929,                 1.0756,                0.86215,                0.86245,                  0.937,                0.88309,                0.34539,                0.59786,                0.95237,             0.00021437,             0.00021437,             0.00021437
                      4,                0.35947,                0.84113,                 1.0652,                0.92068,                0.92829,                0.96982,                0.91887,                0.32597,                0.45523,                 0.9269,             0.00020266,             0.00020266,             0.00020266
                      5,                0.34853,                0.72543,                 1.0574,                0.94457,                0.95169,                0.98052,                0.94403,                0.27533,                0.37347,                0.87355,             0.00019088,             0.00019088,             0.00019088
                      6,                0.33854,                0.65153,                 1.0512,                0.94529,                0.95944,                0.98331,                0.94881,                0.28181,                0.35772,                0.87254,             0.00017909,             0.00017909,             0.00017909
                      7,                0.32932,                0.59184,                 1.0436,                0.94205,                0.96522,                0.98548,                0.95808,                0.25999,                0.32721,                0.85356,             0.00016731,             0.00016731,             0.00016731
                      8,                0.32268,                0.55047,                 1.0409,                0.95967,                0.96804,                0.98642,                0.95976,                0.25343,                0.29412,                0.83244,             0.00015553,             0.00015553,             0.00015553
                      9,                0.31969,                 0.5252,                 1.0387,                0.96799,                 0.9733,                0.98741,                0.96499,                0.24062,                 0.2666,                0.81933,             0.00014375,             0.00014375,             0.00014375
                     10,                0.31499,                0.48878,                 1.0354,                0.97275,                0.97956,                 0.9903,                0.96784,                0.23918,                0.25691,                0.82263,             0.00013197,             0.00013197,             0.00013197
                     11,                0.14743,                0.31828,                0.94555,                0.97749,                0.97344,                 0.9892,                0.97711,                0.20871,                0.23483,                0.77935,             0.00012019,             0.00012019,             0.00012019
                     12,                0.12888,                0.25223,                0.93064,                 0.9831,                0.97939,                0.99096,                0.98261,                0.19239,                0.20794,                0.75911,             0.00010841,             0.00010841,             0.00010841
                     13,                0.12338,                0.22685,                 0.9279,                0.98428,                0.98515,                0.99195,                0.98448,                0.18539,                 0.1876,                0.74939,             9.6628e-05,             9.6628e-05,             9.6628e-05
                     14,                0.11878,                0.20034,                0.92671,                0.98178,                0.98423,                0.99148,                0.98492,                 0.1724,                0.18279,                0.73573,             8.4847e-05,             8.4847e-05,             8.4847e-05
                     15,                0.11385,                0.18288,                0.91975,                0.98615,                0.98504,                0.99189,                0.98506,                0.17582,                0.18214,                0.73911,             7.3066e-05,             7.3066e-05,             7.3066e-05
                     16,                0.10946,                0.16601,                0.91778,                 0.9844,                0.98645,                0.99193,                 0.9868,                0.16294,                0.17202,                0.72738,             6.1285e-05,             6.1285e-05,             6.1285e-05
                     17,                0.10714,                0.15218,                0.91727,                0.98722,                0.98832,                0.99289,                0.98772,                0.17013,                0.16959,                0.73295,             4.9504e-05,             4.9504e-05,             4.9504e-05
                     18,                0.10314,                0.14115,                0.91377,                0.98929,                0.98567,                0.99251,                0.98773,                0.17412,                0.17647,                0.73633,             3.7723e-05,             3.7723e-05,             3.7723e-05
                     19,                0.09984,                0.13128,                0.90938,                 0.9894,                0.98847,                0.99269,                0.98815,                 0.1689,                0.17602,                0.73223,             2.5942e-05,             2.5942e-05,             2.5942e-05
                     20,                0.09647,                0.12471,                0.90964,                0.98866,                0.99001,                0.99277,                0.98839,                0.16847,                0.16829,                 0.7308,             1.4161e-05,             1.4161e-05,             1.4161e-05
